Meter_Hours,Latitude,Longitude,Pay By Cell Number
2 HR Pas Mon-Sat 0900-1900,40.7415111209518,-73.9605142330882,425037
2HR Pas Mon-Sat 0900-2200,40.704005689714,-74.0084943150429,100927
2 HR Pas Mon-Sat 0800-1900,40.6535698649011,-74.0088017549489,304028
2 HR Pas Mon-Sat 0700-2200,40.8396924280594,-73.8821079680602,205876
3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900,40.7784865293823,-73.9564275260737,113823
2 HR Pas Mon-Sat 0800-2200,40.7302354530028,-73.9577233893881,313841
15HR Pas Mon - Sat 0700-2200,40.6597367291131,-74.0020491553203,342858
6HR Pas Mon-Fri 0900-2200,40.7354393855834,-73.8148380161902,427918
2 HR Pas Mon-Sat 0800-2200,40.7294874696029,-73.9574587001321,308264
2HR Pas Mon-Sat 0830-2200,40.7399045161829,-73.9825104553208,106557
2 HR Pas Mon-Sat 0900-1900,40.6937888355448,-73.82735643285,415227
2 HR Pas Mon-Sat 0700-2200,40.8398205136899,-73.8813984916858,205876
2 HR Pas Mon-Sat 0800-2200,40.729409652562,-73.9575892108833,312460
2 HR Pas Mon-Sat 0800-2200,40.7298813316177,-73.9583062995569,308116
2 HR Pas Mon-Sat 0800-2200,40.7297532889781,-73.9581815300608,302816
1HR Com Mon-Sat 0700-1600 / 5 HR Pas Mon-Sat 1900-2400,40.758614740164,-73.9886410850896,104949
2 HR Pas Mon-Sat 0830-1900,40.6796687964762,-73.9493132542893,304251
2HR Pas Mon-Sat 0900-1900,40.7862044275417,-73.9507652103515,110496
3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200,40.751193649883,-73.9793245225676,101527
2 HR Pas Mon-Sat 0830-1900,40.8590692136044,-73.8992450013655,208750
3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300,40.7638781928644,-73.9885256890533,106429
3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300,40.7655939558329,-73.9872675322689,102780
2 HR Pas Mon-Sat 0900-1900,40.8402149356332,-73.8635093521195,204949
2 HR Pas Mon-Sat 0900-1900,40.7480775785411,-73.8820603327511,402606
2HR Pas Mon-Sat 0900-1900,40.7181314375449,-74.0007000359523,104576
2 HR Pas Mon-Sat 0800-1900,40.8197798061713,-73.913438186786,201206
6HR Pas Mon-Sat 0800-2200,40.6918980767255,-73.9794335305904,300108
2 HR Pas Mon-Fri 1000-1600 /2 HR Pas Sat 0900-1900,40.6789637888874,-73.9495732232511,337352
2 HR Pas Mon-Sat 0800-1900,40.6389298043529,-73.9685702288659,313654
2 HR Pas Mon-Sat 0900-1900,40.7887726031795,-73.8143139780685,439168
2 HR Pas Mon-Sat 0800-1900,40.8405826109199,-73.8631012168656,213848
2 HR Pas Mon-Sat 0830-1900,40.7511310749701,-73.871867183809,463784
2 HR Pas Mon-Sat 0800-1900,40.6350724408049,-73.9501909236402,303284
2 HR Pas Mon-Sat 0800-1900,40.8474674700202,-73.8308726452099,204302
2 HR Pas Mon-Sat 0830-1900,40.8354903417574,-73.8553417405676,223537
2 HR Pas Mon-Sat 0900-1900,40.7280381248625,-73.8924112081934,468006
2 HR Pas Mon-Sat 0830-1900,40.7194587667037,-73.8384057312312,402618
2 HR Pas Mon-Sat 0900-1900,40.7494500759484,-73.8876550340477,404866
2 HR Pas Mon-Sat 0830-1900,40.8069015356228,-73.9431976181051,114678
2HR Pas Mon-Sat 0900-1900,40.7291211118337,-74.007126314669,104535
2 HR Pas Mon-Sat 0830-1900,40.6795724302609,-73.9492654562259,337351
2 HR Pas Mon-Sat 0900-1900,40.7373943940902,-73.7085101979452,428638
2 HR Pas Sat 0900-1900,40.6900353862483,-73.9865754361515,300069
2 HR Pas Mon-Sat 0900-1900,40.6648113063224,-73.9316062897503,329127
2 HR Pas Mon-Sat 0730-1900,40.6905137890576,-73.9956624072787,300254
2 HR Pas Mon-Sat 0800-1900,40.8274353698564,-73.9254614231469,220518
6HR Pas Mon-Fri 0900-2200,40.7368285393022,-73.814781128942,427918
3HR Com Mon-Sat 0700-1900,40.7613028789414,-73.9731951858944,102090
2HR Pas Mon-Sat 0900-1900,40.7294005420291,-73.9809917632551,106572
4HR Pas Mon-Sat 0900-1900,40.6959025745767,-73.9853929563852,300211
2HR Pas Mon-Sat 0900-1900,40.7880746568947,-73.9746120509675,113822
2 HR Pas Sat 0900-1900,40.6641103257198,-73.931676319534,320023
4HR Pas Mon-Sat 0900-1900,40.6959335084003,-73.9862206598552,300211
3HR Com Mon-Sat 0900-1900,40.7733022433012,-73.9578668008098,112625
2 HR Pas Mon-Sat 0900-1900,40.7455245316179,-73.88933203894,467631
2 HR Pas Mon-Sat 0830-1900,40.6851935408743,-73.991568731472,312875
2 HR Pas Mon-Sat 0900-1900,40.6755625339707,-73.7391130732244,416681
3HR Com Mon-Fri 1000-1400 /2HR Pas Sat 0900-1900,40.7614567855717,-73.9638674251844,105752
2 HR Pas Mon-Sat 0900-1900,40.6519612419496,-73.8378826468957,449109
2HR Pas Mon-Sat 0700-2200,40.7185737493319,-74.0049488247244,103018
2HR Pas Mon-Sat 0830-2200,40.7447933801704,-73.9789473856875,102352
2 HR Pas Mon-Sat 0900-1900,40.7577734399281,-73.9389780218364,413399
2 HR Pas Mon-Sat 0730-1900,40.8807193650033,-73.8383177456187,207707
2 HR Pas Mon-Sat 0800-1900,40.7568028092375,-73.9145263627606,422581
2 HR Pas Mon-Sat 0900-1900,40.7481723225088,-73.8812346124264,463032
2 HR Pas Mon-Sat 0900-1900,40.7199276663964,-73.8098369136778,455249
6HR Pas Mon-Fri 0900-2200,40.7374713707385,-73.8148819042998,427918
3HR Com Mon-Fri 0700-1900 /2HR Pas Sat 0900-1900,40.773275242168,-73.9600213179129,111104
2 HR Pas Mon-Sat 0900-1900,40.8288402224896,-73.8782247755225,220791
2 HR Pas Mon-Sat 0830-1900,40.8583237804366,-73.8996950185111,212036
2 HR Pas Mon-Sat 0900-1900,40.7443563873326,-73.9493408359169,413676
2 HR Pas Mon-Sat 0900-1900,40.5767884146408,-73.9640673533065,307282
2HR Pas Mon-Sat 0900-1600,40.769581375089,-73.9846234130594,103427
2 HR Pas Mon-Sat 0800-1900,40.6159561795869,-73.9744595131863,308179
15HR Pas Mon-Sat 0800-2200,40.6593498552536,-74.002431795524,342855
2 HR Pas Mon-Sat 0800-1900,40.7643181367395,-73.9305693247287,418209
1HR Com Mon-Sat 0700-1900,40.759840727946,-73.9901166390705,102834
3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7627879925413,-73.9715828126594,102409
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7621759204221,-73.976255861187,103174
2HR Pas Mon-Fri 1000-1500 / 2HR Pas Sat 0900-1900,40.7230746334692,-73.988099881041,106725
3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7541964621237,-73.9771672790233,104474
15HR Pas Mon-Sat 0800-2200,40.6082978016852,-74.0032098359303,342822
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7616884748529,-73.9839922319365,104265
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7531337162325,-73.9896652954898,103601
2HR Pas Mon-Sat 0900-2400,40.7196213358216,-73.98951558233,102650
2 HR Pas Mon-Sat 0800-1900,40.6899529222543,-73.9897899707147,342413
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7614225215454,-73.9802910362252,106203
2 HR Pas 0900-1900 Mon-Thur / 4HR Pas 0900-1900 Fri,40.6968960197574,-73.9551306488796,306592
15HR Pas Mon-Sat 0800-2200,40.6765398760729,-73.8653155324285,342834
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.750565620217,-73.9720032316355,102821
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7555266373019,-73.9818326012133,104674
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7542922429312,-73.9786529791377,102161
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7509021716016,-73.9862872132841,104320
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7532165869847,-73.9741583452176,104990
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7652344176017,-73.9871349402618,102781
12HR Pas Mon-Sat 0700-1900,40.7438476889022,-73.9419161426629,412854
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.763451513933,-73.9793015440724,106592
2 HR Pas Mon-Sat 0800-1900,40.8089057245062,-73.9222249160033,219556
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7633467532635,-73.9884910947794,102977
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7658068738336,-73.9820366014301,102696
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7595347098895,-73.9758058547095,105025
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7624725226025,-73.9769537809945,103174
3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400,40.7177612406588,-73.999752109243,103964
15HR Pas Mon-Sat 0800-2200,40.6582405034623,-74.0035986840067,342841
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7534221029907,-73.9867755572262,106208
2HR Pas Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7645408355914,-73.9821708008301,102917
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7658688848137,-73.9828432718901,102695
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.75095521333,-73.9878356311539,101694
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7512050089509,-73.9872753682844,106973
2 HR Pas Mon-Sat 0900-1900,40.6694134691199,-73.9893160725552,338133
12HR Pas Mon-Sat 0700-1900,40.742109611915,-73.9459942893285,414115
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.761489108355,-73.9763301431147,103172
3HR Com Mon-Sat 1000-1600 /5HR Pas Mon-Sat 1900-2400,40.7540520583343,-73.984814624669,104932
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.754913988131,-73.9784367749329,102159
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7610849652604,-73.9811773362384,102117
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7568153613149,-73.9848890983257,101222
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7594609155147,-73.9814635211921,101501
15HR Pas Mon-Sat 0800-2200,40.5510563493479,-74.1490575827287,525704
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7583202747477,-73.9845854401741,104185
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7633817425759,-73.9846869583905,104232
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.75673999491,-73.9749934376794,104051
15HR Pas Mon-Sat 0800-2200,40.6766593338406,-73.8650341386473,342834
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7602864479171,-73.9734676317663,104289
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7537460929691,-73.9885023997609,102528
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7526001942785,-73.9893457072002,101397
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7609586871514,-73.9888893539481,103104
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.750941141765,-73.9883203337725,101693
1HR Com Mon-Sat 0700-1600 /1HR Com Mon-Sat 1900-2200,40.7613225932952,-73.9943593689134,101845
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7511754571548,-73.9888769975798,101693
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7539331677953,-73.9877108224102,104400
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7527197060439,-73.9851158098842,102729
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7547138856682,-73.9898608369811,102478
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7615998822718,-73.9824049956613,102117
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7518975943566,-73.9751637619376,106372
3HR Com Mon-Sat 1000-1600 /5HR Pas Mon-Sat 1900-2400,40.7525358685652,-73.9859240723836,102141
3HR Com Mon-Sat 0700-1500 / 5 HR Pas Mon-Sat 1900-2400,40.72072602965,-74.003564661439,103300
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7626802944151,-73.9811003480453,103066
3HR Com Mon-Fri 0700-1400 / 2HR Pas Sat 0700-1400,40.7394423998286,-74.0068328611753,105304
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7542804364476,-73.9849727744481,104933
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7547810340876,-73.9861692735387,104933
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7574064796908,-73.9724635100998,102427
3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7575686814019,-73.9866680328227,107235
12HR Pas Mon-Sat 0700-1900,40.7470786469658,-73.9297941143262,414359
3HR Com Mon-Sat 1000-1600 /5HR Pas Mon-Sat 1900-2400,40.7639748116439,-73.9775758354597,102914
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7611412394401,-73.9716022307802,102282
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.764061284893,-73.9843603382859,102931
2HR Pas Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7630618639488,-73.9828846947031,106965
2HR Pas Mon-Sat 0800-2000,40.5821026631554,-73.8367432702245,455829
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7592229596343,-73.9709540574303,101412
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7612110947105,-73.9892665743096,102365
12 HR Pas Mon-Sat 0600-2200,40.7420102611348,-73.9585032839562,426804
3HR Com Mon-Sat 0700-1900 /5HR Pas Mon-Sat 1900-2400,40.7172097971062,-73.9991690537589,104447
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7633900627451,-73.9769407661666,104456
2 HR Pas Mon-Sat 0800-1900,40.6899908081506,-73.9821719673717,300566
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7579269535549,-73.973918325688,107253
4HR Pas Mon-Sat 0700-2200,40.6565658865492,-74.0053317042303,342838
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7552229444504,-73.9811040187532,104674
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7582675400225,-73.9764481664726,104604
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7554942130909,-73.9739752625839,106391
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7652565919715,-73.9813780116852,106073
3HR Com Mon-Sat 0800-1900 /5HR Pas Mon-Sat 1900-2400,40.7206263691695,-74.0037956169424,101377
3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7583658532132,-73.9885681336939,107235
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7522456282648,-73.987819284041,106021
12HR Pas Mon-Sat 0700-1900,40.7424124472942,-73.9452339029893,414115
2 HR Pas Mon-Sat 0900-1900,40.7239158693135,-73.9512618616084,333479
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7630276563236,-73.9763310589991,107068
2HR Pas Mon-Sat 0800-2200,40.7193417144897,-74.0067787225926,101929
12HR Pas Mon-Sat 0700-1900,40.7428956377743,-73.9440275937553,414115
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7638182127798,-73.9818436267489,102918
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7536510007436,-73.9790731693966,104148
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.759279985182,-73.9693863161929,102808
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7504196296481,-73.9851434222009,104320
12HR Pas Mon-Sat 0700-1900,40.7448568548382,-73.9306418332097,421243
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7556256310144,-73.9801219499785,105556
3HR Com Mon-Fri 0600-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7641416101554,-73.9811552416292,106413
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7522106441352,-73.9839184199331,102729
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7563004883236,-73.9717605578499,103544
2HR Pas Mon-Sat 0700-1900,40.7174284210222,-74.0060999390491,105661
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7524713222509,-73.9842488481998,106481
2HR Pas Mon-Sat 0830-1900,40.7286657249052,-73.9906943600074,106069
3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,40.7568839084836,-73.9751026783567,101627
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7523721252722,-73.9919562384517,106700
2 HR Pas Mon-Sat 0900-1900,40.6774106483688,-73.9690603095865,330703
3HR Com Mon-Sat 0700-1500 / 5 HR Pas Mon-Sat 1900-2400,40.7201696217581,-74.002783581149,102094
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7541886671827,-73.9886121240316,102478
3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,40.7602766515022,-73.9831542910438,104201
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7544865492682,-73.9893203315642,102478
3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400,40.7183122321589,-74.000210487051,103923
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7627814656493,-73.9757465530361,107068
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7605959453097,-73.98419053321,106210
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7549654002226,-73.9821911006041,104672
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7582885135457,-73.9806231456098,103317
3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,40.7533912735929,-73.9883550549399,102529
3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400,40.7187928428658,-74.0008747574298,104984
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7535807191933,-73.9749997226921,107502
3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400,40.7631668407257,-73.9673928030209,106738
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7656233217778,-73.9824774888207,102945
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.759490367359,-73.9715864554516,101412
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7560424647282,-73.9811104901009,105556
3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400,40.7619687664938,-73.9874151872505,104706
15HR Pas Mon-Sat 0800-2200,40.6764430151103,-73.8657148817278,342828
3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,40.7607354560857,-73.9784103753643,103256
