ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
11413,1.0,2.0,0,0,1,2
11219,1.0,0.0,1,0,0,0
11234,0.0,0.0,0,0,1,0
10466,0.0,1.0,0,0,0,1
11432,2.0,0.0,0,0,0,0
11236,2.0,0.0,0,0,1,0
11217,8.0,0.0,0,0,8,0
11215,4.0,2.0,0,0,1,0
10312,2.0,0.0,1,0,1,0
11210,2.0,0.0,2,0,0,0
10033,0.0,0.0,0,0,0,0
10301,6.0,0.0,0,0,6,0
11418,3.0,5.0,0,0,3,5
11224,3.0,0.0,0,0,0,0
11418,1.0,0.0,0,0,1,0
11377,0.0,1.0,0,0,0,1
10312,4.0,0.0,0,0,4,0
11691,5.0,0.0,0,0,5,0
11434,3.0,0.0,0,0,0,0
10006,3.0,0.0,0,0,3,0
10452,0.0,0.0,0,0,0,0
10065,0.0,1.0,0,0,0,0
11369,2.0,0.0,0,0,2,0
10003,0.0,1.0,0,1,0,0
10470,0.0,0.0,0,0,0,0
10035,7.0,0.0,0,0,5,0
11222,1.0,0.0,0,0,0,0
10463,4.0,0.0,0,0,4,0
10452,2.0,0.0,2,0,0,0
10003,2.0,0.0,1,0,1,0
10459,2.0,1.0,0,0,0,1
10310,9.0,0.0,0,0,9,0
10004,3.0,0.0,0,0,3,0
11433,3.0,0.0,0,0,3,0
11415,2.0,0.0,0,0,1,0
10469,1.0,0.0,0,0,1,0
11217,4.0,0.0,0,0,0,0
10030,2.0,0.0,0,0,2,0
10454,4.0,0.0,0,0,0,0
11101,2.0,0.0,1,0,1,0
11421,3.0,0.0,0,0,2,0
10458,0.0,1.0,0,0,0,0
10158,0.0,0.0,0,0,0,0
11224,1.0,0.0,0,0,1,0
10014,5.0,0.0,0,0,5,0
11360,1.0,0.0,1,0,0,0
10301,2.0,0.0,2,0,0,0
10032,2.0,0.0,1,0,0,0
11249,2.0,1.0,0,0,1,0
11220,2.0,0.0,0,0,1,0
11208,2.0,0.0,0,0,0,0
11228,2.0,1.0,0,0,2,1
11364,3.0,3.0,0,0,3,3
10307,0.0,0.0,0,0,0,0
11230,3.0,0.0,0,0,2,0
10018,0.0,1.0,0,0,0,1
11234,2.0,0.0,0,0,2,0
10029,3.0,0.0,0,0,2,0
11233,0.0,0.0,0,0,0,0
11691,6.0,0.0,0,0,6,0
10024,1.0,0.0,0,0,1,0
11214,1.0,0.0,0,0,1,0
11236,0.0,2.0,0,0,0,2
10035,1.0,1.0,1,0,0,0
11367,6.0,0.0,0,0,6,0
11249,0.0,1.0,0,1,0,0
10014,8.0,0.0,0,0,8,0
10308,7.0,0.0,0,0,7,0
11233,4.0,1.0,1,0,1,0
11103,3.0,0.0,0,0,3,0
10306,4.0,0.0,0,0,4,0
10454,3.0,0.0,0,0,0,0
11102,2.0,0.0,0,0,1,0
11218,1.0,0.0,0,0,0,0
10110,1.0,0.0,1,0,0,0
11106,1.0,0.0,0,0,1,0
10451,0.0,1.0,0,0,0,1
10069,2.0,0.0,0,0,2,0
11433,7.0,0.0,0,0,7,0
10034,1.0,0.0,0,0,1,0
10460,0.0,1.0,0,1,0,0
11237,0.0,1.0,0,0,0,1
11374,1.0,0.0,1,0,0,0
11235,2.0,0.0,0,0,2,0
11373,1.0,0.0,0,0,1,0
11212,8.0,0.0,0,0,8,0
10278,1.0,0.0,0,0,1,0
11234,0.0,2.0,0,0,0,2
11210,3.0,0.0,0,0,0,0
10039,4.0,0.0,0,0,4,0
10453,1.0,0.0,1,0,0,0
11206,0.0,0.0,0,0,1,0
11423,0.0,1.0,0,0,0,0
11235,1.0,0.0,1,0,0,0
11210,8.0,0.0,0,0,8,0
11411,3.0,0.0,0,0,3,0
11357,2.0,0.0,0,0,0,0
11423,4.0,0.0,1,0,3,0
10458,2.0,0.0,1,0,1,0
10119,1.0,0.0,0,0,0,0
11358,1.0,0.0,0,0,1,0
11213,2.0,0.0,0,0,0,0
10022,0.0,0.0,0,0,1,0
10459,1.0,0.0,1,0,0,0
10003,7.0,0.0,1,0,3,0
11420,0.0,1.0,0,1,0,0
11226,2.0,0.0,0,0,2,0
10032,1.0,1.0,0,0,1,1
11216,2.0,0.0,0,0,2,0
11423,0.0,0.0,0,0,0,0
10459,2.0,0.0,0,0,1,0
